id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8484153,Leo,Carlsson,Leo Carlsson,91,C,L,75,208,2004-12-26,SWE,https://assets.nhle.com/mugs/nhl/20252026/ANA/8484153.png
8483445,Cutter,Gauthier,Cutter Gauthier,61,L,L,74,205,2004-01-19,SWE,https://assets.nhle.com/mugs/nhl/20252026/ANA/8483445.png
8475798,Mikael,Granlund,Mikael Granlund,64,C,L,70,193,1992-02-26,FIN,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475798.png
8478424,Jansen,Harkins,Jansen Harkins,24,C,L,73,197,1997-05-23,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8478424.png
8477527,Ross,Johnston,Ross Johnston,44,L,L,77,232,1994-02-18,CAN,https://assets.nhle.com/mugs/nhl/20252026/ANA/8477527.png
8473986,Alex,Killorn,Alex Killorn,17,L,L,73,205,1989-09-14,CAN,https://assets.nhle.com/mugs/nhl/20252026/ANA/8473986.png
8475184,Chris,Kreider,Chris Kreider,20,L,L,75,232,1991-04-30,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475184.png
8482745,Mason,McTavish,Mason McTavish,23,C,L,73,219,2003-01-30,CHE,https://assets.nhle.com/mugs/nhl/20252026/ANA/8482745.png
8480068,Ryan,Poehling,Ryan Poehling,25,C,L,74,206,1999-01-03,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8480068.png
8484762,Beckett,Sennecke,Beckett Sennecke,45,R,R,75,206,2006-01-28,CAN,https://assets.nhle.com/mugs/nhl/20252026/ANA/8484762.png
8478873,Troy,Terry,Troy Terry,19,R,R,72,193,1997-09-10,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8478873.png
8478366,Frank,Vatrano,Frank Vatrano,77,R,L,71,203,1994-03-14,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8478366.png
8479705,Jeffrey,Viel,Jeffrey Viel,28,L,L,73,214,1997-01-28,CAN,https://assets.nhle.com/mugs/nhl/20252026/ANA/8479705.png
8485512,Tim,Washe,Tim Washe,42,C,L,75,212,2001-08-25,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8485512.png
8474590,John,Carlson,John Carlson,74,D,R,75,220,1990-01-10,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8474590.png
8475462,Radko,Gudas,Radko Gudas,7,D,R,72,208,1990-06-05,CZE,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475462.png
8481563,Drew,Helleson,Drew Helleson,14,D,R,75,208,2001-03-26,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8481563.png
8482731,Tyson,Hinds,Tyson Hinds,60,D,L,75,201,2003-03-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/ANA/8482731.png
8481605,Jackson,LaCombe,Jackson LaCombe,2,D,L,74,208,2001-01-09,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8481605.png
8483490,Pavel,Mintyukov,Pavel Mintyukov,98,D,L,73,207,2003-11-25,RUS,https://assets.nhle.com/mugs/nhl/20252026/ANA/8483490.png
8482178,Ian,Moore,Ian Moore,3,D,R,75,205,2002-01-04,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8482178.png
8476885,Jacob,Trouba,Jacob Trouba,65,D,R,75,212,1994-02-26,USA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8476885.png
8482803,Olen,Zellweger,Olen Zellweger,51,D,L,70,193,2003-09-10,CAN,https://assets.nhle.com/mugs/nhl/20252026/ANA/8482803.png
8483746,Vyacheslav,Buteyets,Vyacheslav Buteyets,32,G,L,76,220,2002-05-29,RUS,https://assets.nhle.com/mugs/nhl/20252026/ANA/8483746.png
8484391,Damian,Clara,Damian Clara,68,G,L,78,214,2005-01-13,ITA,https://assets.nhle.com/mugs/nhl/20252026/ANA/8484391.png
8480843,Lukas,Dostal,Lukas Dostal,1,G,L,74,190,2000-06-22,CZE,https://assets.nhle.com/mugs/nhl/20252026/ANA/8480843.png
8478024,Ville,Husso,Ville Husso,33,G,L,75,205,1995-02-06,FIN,https://assets.nhle.com/mugs/nhl/20252026/ANA/8478024.png
8475852,Petr,Mrazek,Petr Mrazek,34,G,L,74,192,1992-02-14,CZE,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475852.png
