id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8484145,Zach,Benson,Zach Benson,6,L,L,70,177,2005-05-12,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8484145.png
8475842,Sam,Carrick,Sam Carrick,10,C,R,72,202,1992-02-04,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8475842.png
8479941,Justin,Danforth,Justin Danforth,15,R,R,68,193,1993-03-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8479941.png
8482659,Josh,Doan,Josh Doan,91,R,R,74,198,2002-02-01,USA,https://assets.nhle.com/mugs/nhl/20262027/BUF/8482659.png
8483090,Riley,Fiddler-Schultz,Riley Fiddler-Schultz,45,C,L,72,197,2002-05-13,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8483090.png
8484757,Zac,Funk,Zac Funk,,R,L,72,210,2003-07-20,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8484757.png
8477419,Mason,Geertsen,Mason Geertsen,55,L,L,76,231,1995-04-19,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8477419.png
8484797,Konsta,Helenius,Konsta Helenius,94,C,R,71,190,2006-05-11,FIN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8484797.png
8482896,Tyson,Kozak,Tyson Kozak,48,C,L,71,185,2002-12-29,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8482896.png
8481522,Peyton,Krebs,Peyton Krebs,19,C,L,72,188,2001-01-26,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8481522.png
8483468,Jiri,Kulich,Jiri Kulich,20,C,L,73,193,2004-04-14,CZE,https://assets.nhle.com/mugs/nhl/20262027/BUF/8483468.png
8482479,Trevor,Kuntar,Trevor Kuntar,52,C,L,72,205,2001-06-20,USA,https://assets.nhle.com/mugs/nhl/20262027/BUF/8482479.png
8479359,Beck,Malenstyn,Beck Malenstyn,29,L,L,75,209,1998-02-04,CAN,https://assets.nhle.com/mugs/nhl/20262027/BUF/8479359.png
