id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8475745,Charlie,Coyle,Charlie Coyle,3,C,R,75,221,1992-03-02,USA,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8475745.png
8484166,Adam,Fantilli,Adam Fantilli,19,C,L,74,205,2004-10-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8484166.png
8478856,Conor,Garland,Conor Garland,83,R,R,70,165,1996-03-11,USA,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478856.png
8478046,Danton,Heinen,Danton Heinen,43,L,L,74,187,1995-07-05,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478046.png
8476432,Boone,Jenner,Boone Jenner,38,C,L,74,204,1993-06-15,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8476432.png
8482660,Kent,Johnson,Kent Johnson,91,C,L,72,170,2002-10-18,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8482660.png
8480806,Isac,Lundeström,Isac Lundeström,21,C,L,73,192,1999-11-06,SWE,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8480806.png
8480893,Kirill,Marchenko,Kirill Marchenko,86,R,R,75,201,2000-07-21,RUS,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8480893.png
8478975,Mason,Marchment,Mason Marchment,17,L,L,77,212,1995-06-18,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478975.png
8477497,Sean,Monahan,Sean Monahan,23,C,L,74,206,1994-10-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8477497.png
8479671,Mathieu,Olivier,Mathieu Olivier,24,R,R,73,232,1997-02-11,USA,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8479671.png
8482705,Cole,Sillinger,Cole Sillinger,4,C,L,72,202,2003-05-16,USA,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8482705.png
8481716,Dmitri,Voronkov,Dmitri Voronkov,10,L,L,77,234,2000-09-10,RUS,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8481716.png
8477425,Miles,Wood,Miles Wood,11,L,L,74,209,1995-09-13,USA,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8477425.png
8481161,Jake,Christiansen,Jake Christiansen,2,D,L,72,199,1999-09-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8481161.png
8479371,Dante,Fabbro,Dante Fabbro,15,D,R,72,200,1998-06-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8479371.png
8475790,Erik,Gudbranson,Erik Gudbranson,44,D,R,77,222,1992-01-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8475790.png
8483485,Denton,Mateychuk,Denton Mateychuk,5,D,L,71,188,2004-07-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8483485.png
8478500,Ivan,Provorov,Ivan Provorov,9,D,L,73,224,1997-01-13,RUS,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478500.png
8476923,Damon,Severson,Damon Severson,78,D,R,74,204,1994-08-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8476923.png
8474090,Brendan,Smith,Brendan Smith,7,D,L,74,200,1989-02-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8474090.png
8478460,Zach,Werenski,Zach Werenski,8,D,L,74,214,1997-07-19,USA,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478460.png
8481178,Egor,Zamula,Egor Zamula,6,D,L,75,200,2000-03-30,RUS,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8481178.png
8482982,Jet,Greaves,Jet Greaves,73,G,L,72,188,2001-03-30,CAN,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8482982.png
8478007,Elvis,Merzlikins,Elvis Merzlikins,90,G,L,75,190,1994-04-13,LVA,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478007.png
