id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8474150,Mikael,Backlund,Mikael Backlund,11,C,L,72,206,1989-03-17,SWE,https://assets.nhle.com/mugs/nhl/20252026/CGY/8474150.png
8481556,John,Beecher,John Beecher,18,C,L,75,220,2001-04-05,USA,https://assets.nhle.com/mugs/nhl/20252026/CGY/8481556.png
8476399,Blake,Coleman,Blake Coleman,20,L,L,71,199,1991-11-28,USA,https://assets.nhle.com/mugs/nhl/20252026/CGY/8476399.png
8482679,Matt,Coronato,Matt Coronato,27,R,R,70,183,2002-11-14,USA,https://assets.nhle.com/mugs/nhl/20252026/CGY/8482679.png
8480797,Joel,Farabee,Joel Farabee,86,L,L,72,186,2000-02-25,USA,https://assets.nhle.com/mugs/nhl/20252026/CGY/8480797.png
8480028,Morgan,Frost,Morgan Frost,16,C,L,72,193,1999-05-14,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8480028.png
8484860,Matvei,Gridin,Matvei Gridin,92,R,L,73,182,2006-03-01,RUS,https://assets.nhle.com/mugs/nhl/20252026/CGY/8484860.png
8486056,Tyson,Gross,Tyson Gross,39,C,R,75,195,2002-09-23,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8486056.png
8484180,Samuel,Honzek,Samuel Honzek,29,L,L,76,186,2004-11-12,SVK,https://assets.nhle.com/mugs/nhl/20252026/CGY/8484180.png
8476456,Jonathan,Huberdeau,Jonathan Huberdeau,10,L,L,73,200,1993-06-04,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8476456.png
8482209,Rory,Kerins,Rory Kerins,6,C,L,70,175,2002-04-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8482209.png
8483609,Adam,Klapka,Adam Klapka,43,R,R,80,235,2000-09-14,CZE,https://assets.nhle.com/mugs/nhl/20252026/CGY/8483609.png
8479066,Ryan,Lomberg,Ryan Lomberg,70,L,L,69,184,1994-12-09,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8479066.png
8478109,Victor,Olofsson,Victor Olofsson,95,L,L,71,180,1995-07-18,SWE,https://assets.nhle.com/mugs/nhl/20252026/CGY/8478109.png
8481028,Martin,Pospisil,Martin Pospisil,76,C,L,74,173,1999-11-19,SVK,https://assets.nhle.com/mugs/nhl/20252026/CGY/8481028.png
8481068,Yegor,Sharangovich,Yegor Sharangovich,17,C,L,74,196,1998-06-06,BLR,https://assets.nhle.com/mugs/nhl/20252026/CGY/8481068.png
8476458,Ryan,Strome,Ryan Strome,22,C,R,73,192,1993-07-11,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8476458.png
8484234,Aydar,Suniev,Aydar Suniev,36,L,L,74,198,2004-11-16,RUS,https://assets.nhle.com/mugs/nhl/20252026/CGY/8484234.png
8482074,Connor,Zary,Connor Zary,47,C,L,72,178,2001-09-25,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8482074.png
8480860,Kevin,Bahl,Kevin Bahl,7,D,L,78,230,2000-06-27,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8480860.png
8479402,Jake,Bean,Jake Bean,24,D,L,73,191,1998-06-09,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8479402.png
8484150,Hunter,Brzustewicz,Hunter Brzustewicz,48,D,R,72,190,2004-11-29,USA,https://assets.nhle.com/mugs/nhl/20252026/CGY/8484150.png
8477810,Joel,Hanley,Joel Hanley,44,D,L,71,186,1991-06-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8477810.png
8482165,Yan,Kuznetsov,Yan Kuznetsov,37,D,L,76,209,2002-03-09,RUS,https://assets.nhle.com/mugs/nhl/20252026/CGY/8482165.png
8476874,Olli,Määttä,Olli Määttä,3,D,L,74,207,1994-08-22,FIN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8476874.png
8481167,Brayden,Pachal,Brayden Pachal,94,D,R,74,202,1999-08-23,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8481167.png
8484768,Zayne,Parekh,Zayne Parekh,19,D,R,72,179,2006-02-15,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8484768.png
8480727,Zach,Whitecloud,Zach Whitecloud,28,D,R,74,210,1996-11-28,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8480727.png
8483709,Abram,Wiebe,Abram Wiebe,52,D,L,74,187,2003-08-28,CAN,https://assets.nhle.com/mugs/nhl/20252026/CGY/8483709.png
8482445,Devin,Cooley,Devin Cooley,1,G,L,77,192,1997-05-25,USA,https://assets.nhle.com/mugs/nhl/20252026/CGY/8482445.png
8481692,Dustin,Wolf,Dustin Wolf,32,G,L,72,166,2001-04-16,USA,https://assets.nhle.com/mugs/nhl/20252026/CGY/8481692.png
