id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8484144,Connor,Bedard,Connor Bedard,98,C,R,70,190,2005-07-17,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8484144.png
8477479,Tyler,Bertuzzi,Tyler Bertuzzi,59,L,L,74,200,1995-02-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8477479.png
8484793,Sacha,Boisvert,Sacha Boisvert,12,C,L,74,176,2006-03-17,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8484793.png
8477444,Andre,Burakovsky,Andre Burakovsky,28,L,L,75,203,1995-02-09,AUT,https://assets.nhle.com/mugs/nhl/20252026/CHI/8477444.png
8477987,Ryan,Donato,Ryan Donato,8,C,L,72,190,1996-04-09,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8477987.png
8485391,Anton,Frondell,Anton Frondell,16,C,L,73,198,2007-05-07,SWE,https://assets.nhle.com/mugs/nhl/20252026/CHI/8485391.png
8483450,Ryan,Greene,Ryan Greene,20,C,R,73,195,2003-10-21,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8483450.png
8478043,Sam,Lafferty,Sam Lafferty,24,C,R,74,205,1995-03-06,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8478043.png
8484185,Nick,Lardis,Nick Lardis,76,L,L,71,165,2005-07-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8484185.png
8478233,Andrew,Mangiapane,Andrew Mangiapane,26,L,L,70,183,1996-04-04,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8478233.png
8481624,Ilya,Mikheyev,Ilya Mikheyev,95,R,L,74,192,1994-10-10,RUS,https://assets.nhle.com/mugs/nhl/20252026/CHI/8481624.png
8484197,Oliver,Moore,Oliver Moore,11,C,L,71,188,2005-01-22,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8484197.png
8483493,Frank,Nazar,Frank Nazar,91,C,R,70,190,2004-01-14,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8483493.png
8482172,Landon,Slaggert,Landon Slaggert,84,L,L,72,180,2002-06-25,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482172.png
8476882,Teuvo,Teravainen,Teuvo Teravainen,86,C,L,71,191,1994-09-11,FIN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8476882.png
8476952,Dominic,Toninato,Dominic Toninato,25,C,L,74,201,1994-03-09,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8476952.png
8481806,Louis,Crevier,Louis Crevier,46,D,R,80,228,2001-05-04,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8481806.png
8482807,Ethan,Del Mastro,Ethan Del Mastro,38,D,L,76,210,2003-01-15,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482807.png
8476891,Matt,Grzelcyk,Matt Grzelcyk,48,D,L,70,180,1994-01-05,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8476891.png
8482176,Wyatt,Kaiser,Wyatt Kaiser,44,D,L,72,190,2002-07-31,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482176.png
8483466,Kevin,Korchinski,Kevin Korchinski,14,D,L,73,185,2004-06-21,CAN,https://assets.nhle.com/mugs/nhl/20252026/CHI/8483466.png
8484783,Artyom,Levshunov,Artyom Levshunov,55,D,R,74,208,2005-10-28,BLR,https://assets.nhle.com/mugs/nhl/20252026/CHI/8484783.png
8483506,Sam,Rinzel,Sam Rinzel,6,D,R,76,194,2004-06-25,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8483506.png
8481568,Alex,Vlasic,Alex Vlasic,72,D,L,78,217,2001-06-05,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8481568.png
8481519,Spencer,Knight,Spencer Knight,30,G,L,75,191,2001-04-19,USA,https://assets.nhle.com/mugs/nhl/20252026/CHI/8481519.png
8482821,Arvid,Soderblom,Arvid Soderblom,40,G,L,75,180,1999-08-19,SWE,https://assets.nhle.com/mugs/nhl/20252026/CHI/8482821.png
