id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8481550,Adam,Beckman,Adam Beckman,,L,L,74,192,2001-05-10,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8481550.png
8484149,Gavin,Brindley,Gavin Brindley,54,C,R,68,173,2004-10-05,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8484149.png
8486151,Matthew,DiMarsico,Matthew DiMarsico,,C,L,72,181,2004-01-07,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8486151.png
8485474,Cooper,Gay,Cooper Gay,,R,L,76,209,2002-03-15,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8485474.png
8476994,Vinnie,Hinostroza,Vinnie Hinostroza,,C,R,70,183,1994-04-03,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8476994.png
8486171,T.J.,Hughes,T.J. Hughes,,R,,72,185,2001-11-09,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8486171.png
8475172,Nazem,Kadri,Nazem Kadri,91,C,L,72,185,1990-10-06,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8475172.png
8480448,Parker,Kelly,Parker Kelly,17,C,L,73,185,1999-05-14,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8480448.png
8482742,Zachary,L'Heureux,Zachary L'Heureux,,L,L,71,197,2003-05-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8482742.png
8476455,Gabriel,Landeskog,Gabriel Landeskog,92,L,L,73,215,1992-11-23,SWE,https://assets.nhle.com/mugs/nhl/20262027/COL/8476455.png
8477476,Artturi,Lehkonen,Artturi Lehkonen,62,L,L,71,179,1995-07-04,FIN,https://assets.nhle.com/mugs/nhl/20262027/COL/8477476.png
8482763,Fabian,Lysell,Fabian Lysell,,R,R,71,186,2003-01-19,SWE,https://assets.nhle.com/mugs/nhl/20262027/COL/8482763.png
8477492,Nathan,MacKinnon,Nathan MacKinnon,29,C,R,72,200,1995-09-01,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8477492.png
8482953,Taylor,Makar,Taylor Makar,16,L,L,75,190,2001-03-13,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8482953.png
8483567,Georgii,Merkulov,Georgii Merkulov,,C,L,71,174,2000-10-10,RUS,https://assets.nhle.com/mugs/nhl/20262027/COL/8483567.png
8480039,Martin,Necas,Martin Necas,88,C,R,75,195,1999-01-15,CZE,https://assets.nhle.com/mugs/nhl/20262027/COL/8480039.png
8475754,Brock,Nelson,Brock Nelson,11,C,L,76,205,1991-10-15,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8475754.png
8481186,Logan,O'Connor,Logan O'Connor,25,R,R,72,175,1996-08-14,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8481186.png
8485105,Nikita,Prishchepov,Nikita Prishchepov,85,C,L,73,194,2004-02-20,RUS,https://assets.nhle.com/mugs/nhl/20262027/COL/8485105.png
8478462,Nicolas,Roy,Nicolas Roy,10,C,R,76,200,1997-02-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8478462.png
8475768,Jaden,Schwartz,Jaden Schwartz,,C,L,70,185,1992-06-25,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8475768.png
8482768,Fedor,Svechkov,Fedor Svechkov,,C,L,72,187,2003-04-05,RUS,https://assets.nhle.com/mugs/nhl/20262027/COL/8482768.png
8483569,Wyatt,Aamodt,Wyatt Aamodt,5,D,L,72,201,1997-11-22,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8483569.png
8482676,Sean,Behrens,Sean Behrens,2,D,L,70,177,2003-03-31,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8482676.png
8470613,Brent,Burns,Brent Burns,84,D,R,77,228,1985-03-09,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8470613.png
8481562,Domenick,Fensore,Domenick Fensore,,D,L,69,175,2001-09-07,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8481562.png
8482942,Alex,Gagne,Alex Gagne,45,D,L,76,205,2002-08-12,USA,https://assets.nhle.com/mugs/nhl/20262027/COL/8482942.png
8478454,Noah,Juulsen,Noah Juulsen,,D,R,74,201,1997-04-02,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8478454.png
8476967,Brett,Kulak,Brett Kulak,27,D,L,73,192,1994-01-06,CAN,https://assets.nhle.com/mugs/nhl/20262027/COL/8476967.png
