id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8479414,Nathan,Bastian,Nathan Bastian,11,R,R,76,217,1997-12-06,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479414.png
8473994,Jamie,Benn,Jamie Benn,14,L,L,75,210,1989-07-18,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8473994.png
8476278,Colin,Blackwell,Colin Blackwell,15,C,R,68,181,1993-03-28,USA,https://assets.nhle.com/mugs/nhl/20252026/DAL/8476278.png
8482145,Mavrik,Bourque,Mavrik Bourque,22,C,R,71,187,2002-01-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8482145.png
8478047,Michael,Bunting,Michael Bunting,58,L,L,72,186,1995-09-17,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8478047.png
8480840,Oskar,Bäck,Oskar Bäck,10,C,L,76,207,2000-03-12,SWE,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480840.png
8475168,Matt,Duchene,Matt Duchene,95,C,L,71,211,1991-01-16,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8475168.png
8477454,Adam,Erne,Adam Erne,73,L,L,73,209,1995-04-20,USA,https://assets.nhle.com/mugs/nhl/20252026/DAL/8477454.png
8476889,Radek,Faksa,Radek Faksa,12,C,L,75,216,1994-01-09,CZE,https://assets.nhle.com/mugs/nhl/20252026/DAL/8476889.png
8478449,Roope,Hintz,Roope Hintz,24,C,L,75,217,1996-11-17,FIN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8478449.png
8484829,Justin,Hryckowian,Justin Hryckowian,49,C,L,71,198,2001-02-23,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8484829.png
8484938,Arttu,Hyry,Arttu Hyry,25,R,R,75,211,2001-04-06,FIN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8484938.png
8482740,Wyatt,Johnston,Wyatt Johnston,53,C,R,73,187,2003-05-14,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8482740.png
8478420,Mikko,Rantanen,Mikko Rantanen,96,R,L,76,228,1996-10-29,FIN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8478420.png
8480027,Jason,Robertson,Jason Robertson,21,L,L,75,204,1999-07-22,USA,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480027.png
8475794,Tyler,Seguin,Tyler Seguin,91,C,R,74,205,1992-01-31,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8475794.png
8479351,Sam,Steel,Sam Steel,18,C,L,72,185,1998-02-03,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479351.png
8483425,Lian,Bichsel,Lian Bichsel,6,D,L,79,237,2004-05-18,CHE,https://assets.nhle.com/mugs/nhl/20252026/DAL/8483425.png
8478476,Kyle,Capobianco,Kyle Capobianco,20,D,L,75,194,1997-08-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8478476.png
8481581,Thomas,Harley,Thomas Harley,55,D,L,75,214,2001-08-19,USA,https://assets.nhle.com/mugs/nhl/20252026/DAL/8481581.png
8480036,Miro,Heiskanen,Miro Heiskanen,4,D,L,74,197,1999-07-18,FIN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480036.png
8476902,Esa,Lindell,Esa Lindell,23,D,L,75,217,1994-05-23,FIN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8476902.png
8480878,Nils,Lundkvist,Nils Lundkvist,5,D,R,73,194,2000-07-27,SWE,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480878.png
8480950,Ilya,Lyubushkin,Ilya Lyubushkin,46,D,R,74,206,1994-04-06,RUS,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480950.png
8474574,Tyler,Myers,Tyler Myers,57,D,R,80,229,1990-02-01,USA,https://assets.nhle.com/mugs/nhl/20252026/DAL/8474574.png
8475755,Alexander,Petrovic,Alexander Petrovic,28,D,R,77,215,1992-03-03,CAN,https://assets.nhle.com/mugs/nhl/20252026/DAL/8475755.png
8479193,Casey,DeSmith,Casey DeSmith,1,G,L,72,188,1991-08-13,USA,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479193.png
8479979,Jake,Oettinger,Jake Oettinger,29,G,L,78,225,1998-12-18,USA,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479979.png
