id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8478891,Mason,Appleton,Mason Appleton,22,C,R,74,196,1996-01-15,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8478891.png
8478042,Viktor,Arvidsson,Viktor Arvidsson,,L,R,70,181,1993-04-08,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8478042.png
8485362,Carter,Bear,Carter Bear,,L,L,72,186,2006-11-04,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8485362.png
8484836,Ondrej,Becher,Ondrej Becher,,C,L,74,198,2004-02-22,CZE,https://assets.nhle.com/mugs/nhl/20262027/DET/8484836.png
8484794,Michael,Brandsegg-Nygård,Michael Brandsegg-Nygård,28,R,R,73,204,2005-10-05,NOR,https://assets.nhle.com/mugs/nhl/20262027/DET/8484794.png
8483045,Cameron,Butler,Cameron Butler,58,R,R,76,215,2002-06-09,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8483045.png
8477456,J.T.,Compher,J.T. Compher,37,L,R,72,191,1995-04-08,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8477456.png
8477429,Andrew,Copp,Andrew Copp,18,C,L,73,200,1994-07-08,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8477429.png
8484160,Nate,Danielson,Nate Danielson,29,C,R,74,195,2004-09-27,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8484160.png
8479337,Alex,DeBrincat,Alex DeBrincat,93,R,R,68,180,1997-12-18,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8479337.png
8484161,Noah,Dower Nilsson,Noah Dower Nilsson,,L,L,72,174,2005-04-25,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8484161.png
8480326,Sheldon,Dries,Sheldon Dries,15,C,L,70,182,1994-04-23,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8480326.png
8484471,Emmitt,Finnie,Emmitt Finnie,58,C,L,73,195,2005-06-27,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8484471.png
8483459,Dylan,James,Dylan James,,L,L,72,181,2003-10-12,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8483459.png
8483464,Marco,Kasper,Marco Kasper,92,C,L,73,202,2004-04-08,AUT,https://assets.nhle.com/mugs/nhl/20262027/DET/8483464.png
8484183,Jesse,Kiiskinen,Jesse Kiiskinen,,R,R,74,197,2005-08-23,FIN,https://assets.nhle.com/mugs/nhl/20262027/DET/8484183.png
8478434,Keegan,Kolesar,Keegan Kolesar,,R,R,74,216,1997-04-08,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8478434.png
8477946,Dylan,Larkin,Dylan Larkin,71,C,L,73,204,1996-07-30,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8477946.png
8481077,John,Leonard,John Leonard,43,L,L,71,192,1998-08-07,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8481077.png
8482802,Carter,Mazur,Carter Mazur,34,L,R,72,200,2002-03-28,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8482802.png
8479992,Michael,Rasmussen,Michael Rasmussen,27,C,L,78,222,1999-04-17,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8479992.png
8482078,Lucas,Raymond,Lucas Raymond,23,L,R,71,186,2002-03-28,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8482078.png
8482184,Theo,Rochette,Theo Rochette,,C,L,70,161,2002-02-20,CHE,https://assets.nhle.com/mugs/nhl/20262027/DET/8482184.png
8479942,Dominik,Shine,Dominik Shine,65,R,R,71,177,1993-04-18,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8479942.png
8484380,Wilmer,Skoog,Wilmer Skoog,,C,L,74,196,1999-07-17,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8484380.png
8482714,Chase,Stillman,Chase Stillman,,R,R,73,185,2003-03-19,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8482714.png
8481521,Ronnie,Attard,Ronnie Attard,,D,R,75,208,1999-03-20,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8481521.png
8480879,Jacob,Bernard-Docker,Jacob Bernard-Docker,25,D,R,73,196,2000-06-30,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8480879.png
8480196,Jacob,Bryson,Jacob Bryson,,D,L,69,177,1997-11-18,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8480196.png
8482777,Shai,Buium,Shai Buium,22,D,L,75,216,2003-03-26,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8482777.png
8475279,Ben,Chiarot,Ben Chiarot,8,D,L,75,222,1991-05-09,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8475279.png
8475753,Justin,Faulk,Justin Faulk,72,D,R,72,208,1992-03-20,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8475753.png
8481607,Albert,Johansson,Albert Johansson,20,D,L,72,195,2001-01-04,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8481607.png
8483679,Anton,Johansson,Anton Johansson,,D,R,76,172,2004-06-10,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8483679.png
8478021,William,Lagesson,William Lagesson,84,D,L,74,211,1996-02-22,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8478021.png
8484223,Axel,Sandin-Pellikka,Axel Sandin-Pellikka,44,D,R,72,186,2005-03-11,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8484223.png
8481542,Moritz,Seider,Moritz Seider,53,D,R,74,210,2001-04-06,DEU,https://assets.nhle.com/mugs/nhl/20262027/DET/8481542.png
8482171,William,Wallinder,William Wallinder,54,D,L,76,208,2002-07-28,SWE,https://assets.nhle.com/mugs/nhl/20262027/DET/8482171.png
8484141,Trey,Augustine,Trey Augustine,,G,L,73,183,2005-02-23,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8484141.png
8476434,John,Gibson,John Gibson,36,G,L,75,209,1993-07-14,USA,https://assets.nhle.com/mugs/nhl/20262027/DET/8476434.png
8481757,Carter,Gylander,Carter Gylander,31,G,L,77,197,2001-06-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/DET/8481757.png
8485545,Michal,Postava,Michal Postava,35,G,L,73,200,2002-02-28,CZE,https://assets.nhle.com/mugs/nhl/20262027/DET/8485545.png
8480193,Daniil,Tarasov,Daniil Tarasov,,G,L,77,203,1999-03-27,RUS,https://assets.nhle.com/mugs/nhl/20262027/DET/8480193.png
