id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8477493,Aleksander,Barkov,Aleksander Barkov,16,C,L,75,214,1995-09-02,FIN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8477493.png
8481556,John,Beecher,John Beecher,17,C,L,75,220,2001-04-05,USA,https://assets.nhle.com/mugs/nhl/20262027/FLA/8481556.png
8477935,Sam,Bennett,Sam Bennett,9,C,L,73,193,1996-06-20,CAN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8477935.png
8481065,Angus,Crookshank,Angus Crookshank,28,C,L,70,183,1999-10-02,CAN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8481065.png
8483433,Jack,Devine,Jack Devine,38,R,R,71,173,2003-10-01,USA,https://assets.nhle.com/mugs/nhl/20262027/FLA/8483433.png
8474189,Lars,Eller,Lars Eller,20,C,L,74,207,1989-05-08,DNK,https://assets.nhle.com/mugs/nhl/20262027/FLA/8474189.png
8480025,MacKenzie,Entwistle,MacKenzie Entwistle,44,R,R,75,203,1999-07-14,CAN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8480025.png
8479981,Jonah,Gadjovich,Jonah Gadjovich,12,L,L,75,211,1998-10-12,CAN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8479981.png
8477903,Garnet,Hathaway,Garnet Hathaway,21,R,R,74,212,1991-11-23,USA,https://assets.nhle.com/mugs/nhl/20262027/FLA/8477903.png
8478147,Bokondji,Imama,Bokondji Imama,14,L,L,73,223,1996-08-03,CAN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8478147.png
8478043,Sam,Lafferty,Sam Lafferty,18,C,R,74,205,1995-03-06,USA,https://assets.nhle.com/mugs/nhl/20262027/FLA/8478043.png
8482113,Anton,Lundell,Anton Lundell,15,C,L,73,196,2001-10-03,FIN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8482113.png
8480185,Eetu,Luostarinen,Eetu Luostarinen,27,C,L,75,191,1998-09-02,FIN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8480185.png
8473419,Brad,Marchand,Brad Marchand,63,L,L,69,180,1988-05-11,CAN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8473419.png
8481133,Cole,Reinhardt,Cole Reinhardt,29,L,L,73,207,2000-02-01,CAN,https://assets.nhle.com/mugs/nhl/20262027/FLA/8481133.png
