id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8476469,Joel,Armia,Joel Armia,40,R,R,75,215,1993-05-31,FIN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8476469.png
8482124,Quinton,Byfield,Quinton Byfield,55,R,L,77,230,2002-08-19,CAN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8482124.png
8482160,Martin,Chromiak,Martin Chromiak,42,R,R,72,187,2002-08-20,SVK,https://assets.nhle.com/mugs/nhl/20262027/LAK/8482160.png
8485384,Vojtech,Cihar,Vojtech Cihar,,L,L,72,175,2007-03-29,CZE,https://assets.nhle.com/mugs/nhl/20262027/LAK/8485384.png
8483675,Kenny,Connors,Kenny Connors,34,C,L,73,199,2003-03-10,USA,https://assets.nhle.com/mugs/nhl/20262027/LAK/8483675.png
8477942,Kevin,Fiala,Kevin Fiala,22,L,L,72,205,1996-07-22,CHE,https://assets.nhle.com/mugs/nhl/20262027/LAK/8477942.png
8480252,Cole,Guttman,Cole Guttman,82,C,R,69,167,1999-04-06,USA,https://assets.nhle.com/mugs/nhl/20262027/LAK/8480252.png
8475287,Erik,Haula,Erik Haula,,L,L,71,191,1991-03-23,FIN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8475287.png
8482726,Samuel,Helenius,Samuel Helenius,79,C,L,78,225,2002-11-26,USA,https://assets.nhle.com/mugs/nhl/20262027/LAK/8482726.png
8482466,Aatu,Jamsen,Aatu Jamsen,74,R,L,73,154,2002-07-22,FIN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8482466.png
8480890,Jan,Jenik,Jan Jenik,,C,L,73,204,2000-09-15,CZE,https://assets.nhle.com/mugs/nhl/20262027/LAK/8480890.png
8477960,Adrian,Kempe,Adrian Kempe,9,R,L,74,205,1996-09-13,SWE,https://assets.nhle.com/mugs/nhl/20262027/LAK/8477960.png
8482155,Alex,Laferriere,Alex Laferriere,14,R,R,73,205,2001-10-28,USA,https://assets.nhle.com/mugs/nhl/20262027/LAK/8482155.png
8476872,Scott,Laughton,Scott Laughton,21,C,L,73,190,1994-05-30,CAN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8476872.png
8483052,Kaleb,Lawrence,Kaleb Lawrence,88,C,L,79,230,2003-01-10,CAN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8483052.png
8485602,Jimmy,Lombardi,Jimmy Lombardi,,C,L,72,175,2007-02-16,CAN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8485602.png
8479675,Trevor,Moore,Trevor Moore,12,L,L,71,195,1995-03-31,USA,https://assets.nhle.com/mugs/nhl/20262027/LAK/8479675.png
8478550,Artemi,Panarin,Artemi Panarin,10,L,R,72,176,1991-10-30,RUS,https://assets.nhle.com/mugs/nhl/20262027/LAK/8478550.png
8478967,Lane,Pederson,Lane Pederson,,C,R,73,196,1997-08-04,CAN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8478967.png
8470621,Corey,Perry,Corey Perry,,R,R,75,210,1985-05-16,CAN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8470621.png
8482748,Francesco,Pinelli,Francesco Pinelli,73,C,L,72,185,2003-04-11,CAN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8482748.png
8486160,Grant,Slukynsky,Grant Slukynsky,,C,L,73,198,2002-03-12,USA,https://assets.nhle.com/mugs/nhl/20262027/LAK/8486160.png
8481532,Alex,Turcotte,Alex Turcotte,15,C,L,71,195,2001-02-26,USA,https://assets.nhle.com/mugs/nhl/20262027/LAK/8481532.png
8483406,Taylor,Ward,Taylor Ward,52,R,R,74,215,1998-03-31,CAN,https://assets.nhle.com/mugs/nhl/20262027/LAK/8483406.png
8483756,Jared,Wright,Jared Wright,53,R,R,73,178,2002-11-22,USA,https://assets.nhle.com/mugs/nhl/20262027/LAK/8483756.png
