id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8476981,Josh,Anderson,Josh Anderson,17,R,R,75,226,1994-05-07,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8476981.png
8483424,Owen,Beck,Owen Beck,62,C,R,72,199,2004-02-03,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8483424.png
8475968,Alex,Belzile,Alex Belzile,60,R,R,72,198,1991-08-31,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8475968.png
8482132,Brett,Berard,Brett Berard,,L,L,69,175,2002-09-09,USA,https://assets.nhle.com/mugs/nhl/20262027/MTL/8482132.png
8481540,Cole,Caufield,Cole Caufield,13,R,R,68,175,2001-01-02,USA,https://assets.nhle.com/mugs/nhl/20262027/MTL/8481540.png
8483549,Lucas,Condotta,Lucas Condotta,82,L,L,73,218,1997-11-06,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8483549.png
8481523,Kirby,Dach,Kirby Dach,77,C,R,76,221,2001-01-21,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8481523.png
8476479,Phillip,Danault,Phillip Danault,24,C,L,73,200,1993-02-24,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8476479.png
8483728,Jared,Davidson,Jared Davidson,49,C,L,71,183,2002-07-07,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8483728.png
8484984,Ivan,Demidov,Ivan Demidov,93,R,L,73,192,2005-12-10,RUS,https://assets.nhle.com/mugs/nhl/20262027/MTL/8484984.png
8478133,Jake,Evans,Jake Evans,71,C,R,72,190,1996-06-02,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8478133.png
8482775,Oliver,Kapanen,Oliver Kapanen,91,C,R,74,194,2003-07-29,SWE,https://assets.nhle.com/mugs/nhl/20262027/MTL/8482775.png
8484125,Hunter,McKown,Hunter McKown,,C,R,73,192,2002-08-18,USA,https://assets.nhle.com/mugs/nhl/20262027/MTL/8484125.png
8483488,Filip,Mesar,Filip Mesar,46,R,R,70,184,2004-01-03,SVK,https://assets.nhle.com/mugs/nhl/20262027/MTL/8483488.png
8481618,Alex,Newhook,Alex Newhook,15,C,L,71,200,2001-01-28,CAN,https://assets.nhle.com/mugs/nhl/20262027/MTL/8481618.png
