id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8475760,Nick,Bjugstad,Nick Bjugstad,72,C,R,78,210,1992-07-17,USA,https://assets.nhle.com/mugs/nhl/20252026/NJD/8475760.png
8479407,Jesper,Bratt,Jesper Bratt,63,L,L,70,175,1998-07-30,SWE,https://assets.nhle.com/mugs/nhl/20252026/NJD/8479407.png
8477015,Connor,Brown,Connor Brown,16,R,R,72,184,1994-01-14,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8477015.png
8481032,Paul,Cotter,Paul Cotter,47,L,L,74,213,1999-11-16,USA,https://assets.nhle.com/mugs/nhl/20252026/NJD/8481032.png
8474149,Evgenii,Dadonov,Evgenii Dadonov,33,L,L,71,188,1989-03-12,RUS,https://assets.nhle.com/mugs/nhl/20252026/NJD/8474149.png
8479996,Cody,Glass,Cody Glass,12,C,R,75,201,1999-04-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8479996.png
8481721,Arseny,Gritsyuk,Arseny Gritsyuk,81,R,L,72,195,2001-03-15,RUS,https://assets.nhle.com/mugs/nhl/20252026/NJD/8481721.png
8480002,Nico,Hischier,Nico Hischier,13,C,L,73,200,1999-01-04,CHE,https://assets.nhle.com/mugs/nhl/20252026/NJD/8480002.png
8481559,Jack,Hughes,Jack Hughes,86,C,L,71,175,2001-05-14,USA,https://assets.nhle.com/mugs/nhl/20252026/NJD/8481559.png
8479772,Zack,MacEwen,Zack MacEwen,15,R,R,76,226,1996-07-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8479772.png
8478414,Timo,Meier,Timo Meier,28,R,L,73,220,1996-10-08,CHE,https://assets.nhle.com/mugs/nhl/20252026/NJD/8478414.png
8482110,Dawson,Mercer,Dawson Mercer,91,C,R,72,180,2001-10-27,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8482110.png
8476474,Stefan,Noesen,Stefan Noesen,11,R,R,73,205,1993-02-12,USA,https://assets.nhle.com/mugs/nhl/20252026/NJD/8476474.png
8484958,Maxim,Tsyplakov,Maxim Tsyplakov,42,R,L,75,203,1998-09-19,RUS,https://assets.nhle.com/mugs/nhl/20252026/NJD/8484958.png
8479395,Dennis,Cholowski,Dennis Cholowski,44,D,L,74,210,1998-02-15,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8479395.png
8475455,Brenden,Dillon,Brenden Dillon,5,D,L,76,225,1990-11-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8475455.png
8476462,Dougie,Hamilton,Dougie Hamilton,7,D,R,78,230,1993-06-17,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8476462.png
8482684,Luke,Hughes,Luke Hughes,43,D,L,74,198,2003-09-09,USA,https://assets.nhle.com/mugs/nhl/20252026/NJD/8482684.png
8480192,Johnathan,Kovacevic,Johnathan Kovacevic,8,D,R,77,223,1997-07-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8480192.png
8483495,Simon,Nemec,Simon Nemec,17,D,R,73,190,2004-02-15,SVK,https://assets.nhle.com/mugs/nhl/20252026/NJD/8483495.png
8477488,Brett,Pesce,Brett Pesce,22,D,R,75,206,1994-11-15,USA,https://assets.nhle.com/mugs/nhl/20252026/NJD/8477488.png
8478399,Jonas,Siegenthaler,Jonas Siegenthaler,71,D,L,74,218,1997-05-06,CHE,https://assets.nhle.com/mugs/nhl/20252026/NJD/8478399.png
8474596,Jake,Allen,Jake Allen,34,G,L,74,197,1990-08-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8474596.png
8474593,Jacob,Markstrom,Jacob Markstrom,25,G,L,78,207,1990-01-31,SWE,https://assets.nhle.com/mugs/nhl/20252026/NJD/8474593.png
