id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8479525,Ross,Colton,Ross Colton,,C,L,72,194,1996-09-11,USA,https://assets.nhle.com/mugs/nhl/20252026/NSH/8479525.png
8480835,Jack,Drury,Jack Drury,,C,L,71,186,2000-02-03,USA,https://assets.nhle.com/mugs/nhl/20252026/NSH/8480835.png
8481726,Adam,Edstrom,Adam Edstrom,,C,L,79,232,2000-10-12,SWE,https://assets.nhle.com/mugs/nhl/20252026/NSH/8481726.png
8482146,Luke,Evangelista,Luke Evangelista,77,R,R,72,183,2002-02-21,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8482146.png
8484494,Aiden,Fink,Aiden Fink,18,R,R,70,164,2004-11-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8484494.png
8476887,Filip,Forsberg,Filip Forsberg,9,L,R,73,205,1994-08-13,SWE,https://assets.nhle.com/mugs/nhl/20252026/NSH/8476887.png
8481535,Nils,Hoglander,Nils Hoglander,,L,L,69,185,2000-12-20,SWE,https://assets.nhle.com/mugs/nhl/20252026/NSH/8481535.png
8476539,Jonathan,Marchessault,Jonathan Marchessault,81,C,R,69,185,1990-12-27,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8476539.png
8475158,Ryan,O'Reilly,Ryan O'Reilly,90,C,L,73,207,1991-02-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8475158.png
8474564,Steven,Stamkos,Steven Stamkos,91,C,R,73,193,1990-02-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8474564.png
8482103,Ozzy,Wiesblatt,Ozzy Wiesblatt,89,C,R,70,183,2002-03-09,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8482103.png
8484241,Matthew,Wood,Matthew Wood,71,R,R,76,202,2005-02-06,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8484241.png
8482111,Justin,Barron,Justin Barron,20,D,R,74,198,2001-11-15,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8482111.png
8479980,Nicolas,Hague,Nicolas Hague,41,D,L,78,245,1998-12-05,CAN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8479980.png
8474600,Roman,Josi,Roman Josi,59,D,L,73,201,1990-06-01,CHE,https://assets.nhle.com/mugs/nhl/20252026/NSH/8474600.png
8480950,Ilya,Lyubushkin,Ilya Lyubushkin,,D,R,74,206,1994-04-06,RUS,https://assets.nhle.com/mugs/nhl/20252026/NSH/8480950.png
8480246,Nick,Perbix,Nick Perbix,48,D,R,76,206,1998-06-15,USA,https://assets.nhle.com/mugs/nhl/20252026/NSH/8480246.png
8476869,Brady,Skjei,Brady Skjei,76,D,L,75,210,1994-03-26,USA,https://assets.nhle.com/mugs/nhl/20252026/NSH/8476869.png
8482482,Adam,Wilsby,Adam Wilsby,83,D,L,73,188,2000-08-07,SWE,https://assets.nhle.com/mugs/nhl/20252026/NSH/8482482.png
8481020,Justus,Annunen,Justus Annunen,29,G,L,76,210,2000-03-11,FIN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8481020.png
8477424,Juuse,Saros,Juuse Saros,74,G,L,71,180,1995-04-19,FIN,https://assets.nhle.com/mugs/nhl/20252026/NSH/8477424.png
