id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8478445,Mathew,Barzal,Mathew Barzal,13,C,R,73,186,1997-05-26,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8478445.png
8482070,Mitchell,Chaffee,Mitchell Chaffee,,R,R,73,197,1998-01-26,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8482070.png
8475231,Casey,Cizikas,Casey Cizikas,53,C,L,71,191,1991-02-27,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8475231.png
8477407,Anthony,Duclair,Anthony Duclair,11,L,L,72,198,1995-08-26,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8477407.png
8484807,Cole,Eiserman,Cole Eiserman,,L,L,72,195,2006-08-29,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8484807.png
8485388,Victor,Eklund,Victor Eklund,73,R,R,71,161,2006-10-03,SWE,https://assets.nhle.com/mugs/nhl/20262027/NYI/8485388.png
8483441,Quinn,Finley,Quinn Finley,,L,L,71,168,2004-08-08,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8483441.png
8480853,Liam,Foudy,Liam Foudy,43,C,L,73,186,2000-02-04,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8480853.png
8482476,Emil,Heineman,Emil Heineman,51,L,L,74,204,2001-11-16,SWE,https://assets.nhle.com/mugs/nhl/20262027/NYI/8482476.png
8481601,Simon,Holmstrom,Simon Holmstrom,92,R,L,73,208,2001-05-24,SWE,https://assets.nhle.com/mugs/nhl/20262027/NYI/8481601.png
8477500,Bo,Horvat,Bo Horvat,14,C,L,73,225,1995-04-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8477500.png
8482154,Alex,Jefferies,Alex Jefferies,45,L,R,73,192,2001-11-08,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8482154.png
8483104,Daylan,Kuefler,Daylan Kuefler,52,L,L,74,196,2002-02-10,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8483104.png
8485490,Joey,Larson,Joey Larson,61,R,R,73,194,2001-03-27,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8485490.png
8479644,Matt,Luff,Matt Luff,,R,R,75,219,1997-05-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8479644.png
8481711,Matias,Maccelli,Matias Maccelli,,L,L,71,187,2000-10-14,FIN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8481711.png
8481237,Kyle,MacLean,Kyle MacLean,32,C,L,73,190,1999-04-29,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8481237.png
8484208,Jesse,Nurmi,Jesse Nurmi,72,L,L,71,174,2005-03-07,FIN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8484208.png
8476419,Jean-Gabriel,Pageau,Jean-Gabriel Pageau,44,C,R,71,180,1992-11-11,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8476419.png
8476292,Ondrej,Palat,Ondrej Palat,81,L,L,72,194,1991-03-28,CZE,https://assets.nhle.com/mugs/nhl/20262027/NYI/8476292.png
8475151,Kyle,Palmieri,Kyle Palmieri,21,C,R,72,192,1991-02-01,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8475151.png
8485448,Daniil,Prokhorov,Daniil Prokhorov,,R,L,77,209,2007-04-27,RUS,https://assets.nhle.com/mugs/nhl/20262027/NYI/8485448.png
8484221,Calum,Ritchie,Calum Ritchie,64,C,R,74,200,2005-01-21,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8484221.png
8475170,Brayden,Schenn,Brayden Schenn,10,C,L,73,200,1991-08-22,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8475170.png
8485462,Gleb,Veremyev,Gleb Veremyev,67,C,L,77,218,2003-06-28,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8485462.png
8485352,Kashawn,Aitcheson,Kashawn Aitcheson,37,D,L,74,200,2006-09-21,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8485352.png
8478451,Ethan,Bear,Ethan Bear,74,D,R,71,219,1997-06-26,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8478451.png
8477950,Tony,DeAngelo,Tony DeAngelo,77,D,R,72,190,1995-10-24,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8477950.png
8483448,Isaiah,George,Isaiah George,36,D,L,73,203,2004-02-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8483448.png
8482516,Matthew,Kessel,Matthew Kessel,,D,R,75,212,2000-06-23,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8482516.png
8476429,Scott,Mayfield,Scott Mayfield,24,D,R,76,215,1992-10-14,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8476429.png
8483498,Calle,Odelius,Calle Odelius,39,D,L,71,205,2004-05-30,SWE,https://assets.nhle.com/mugs/nhl/20262027/NYI/8483498.png
8476917,Adam,Pelech,Adam Pelech,3,D,L,75,212,1994-08-16,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8476917.png
8484766,Jesse,Pulkkinen,Jesse Pulkkinen,42,D,L,79,220,2004-12-27,FIN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8484766.png
8477506,Ryan,Pulock,Ryan Pulock,6,D,R,73,219,1994-10-06,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8477506.png
8481014,Alexander,Romanov,Alexander Romanov,28,D,L,73,220,2000-01-06,RUS,https://assets.nhle.com/mugs/nhl/20262027/NYI/8481014.png
8485366,Matthew,Schaefer,Matthew Schaefer,48,D,L,74,186,2007-09-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8485366.png
8481569,Marshall,Warren,Marshall Warren,41,D,L,71,195,2001-04-20,USA,https://assets.nhle.com/mugs/nhl/20262027/NYI/8481569.png
8486136,Joshua,Kotai,Joshua Kotai,,G,R,73,165,2003-03-13,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8486136.png
8478009,Ilya,Sorokin,Ilya Sorokin,30,G,L,75,189,1995-08-04,RUS,https://assets.nhle.com/mugs/nhl/20262027/NYI/8478009.png
8482472,Henrik,Tikkanen,Henrik Tikkanen,70,G,L,81,210,2000-09-28,FIN,https://assets.nhle.com/mugs/nhl/20262027/NYI/8482472.png
8477970,Vitek,Vanecek,Vitek Vanecek,,G,L,74,184,1996-01-09,CZE,https://assets.nhle.com/mugs/nhl/20262027/NYI/8477970.png
8473575,Semyon,Varlamov,Semyon Varlamov,40,G,L,74,201,1988-04-27,RUS,https://assets.nhle.com/mugs/nhl/20262027/NYI/8473575.png
