id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8485039,Nathan,Aspinall,Nathan Aspinall,95,L,L,78,198,2006-03-30,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8485039.png
8484785,Jacob,Battaglia,Jacob Battaglia,,R,L,73,196,2006-03-17,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8484785.png
8484786,Cole,Beaudoin,Cole Beaudoin,,C,L,74,209,2006-04-24,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8484786.png
8477416,Oliver,Bjorkstrand,Oliver Bjorkstrand,28,R,R,72,175,1995-04-10,DNK,https://assets.nhle.com/mugs/nhl/20262027/NYR/8477416.png
8482877,Jaroslav,Chmelar,Jaroslav Chmelar,49,R,R,76,226,2003-07-20,CZE,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482877.png
8482157,Will,Cuylle,Will Cuylle,50,L,L,75,212,2002-02-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482157.png
8481604,Pavel,Dorofeyev,Pavel Dorofeyev,16,R,L,73,194,2000-10-26,RUS,https://assets.nhle.com/mugs/nhl/20262027/NYR/8481604.png
8475413,Justin,Dowling,Justin Dowling,37,C,L,71,178,1990-10-01,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8475413.png
8478446,Glenn,Gawdin,Glenn Gawdin,,C,R,73,195,1997-03-25,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8478446.png
8481789,Tye,Kartye,Tye Kartye,24,L,L,71,202,2001-04-30,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8481789.png
8483690,Noah,Laba,Noah Laba,42,C,R,75,214,2003-08-04,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8483690.png
8482109,Alexis,Lafrenière,Alexis Lafrenière,13,L,L,74,191,2001-10-11,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482109.png
8482928,Brody,Lamb,Brody Lamb,46,R,R,73,179,2003-08-30,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482928.png
8483486,Bryce,McConnell-Barker,Bryce McConnell-Barker,47,C,L,73,191,2004-06-04,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8483486.png
8476468,J.T.,Miller,J.T. Miller,10,C,L,72,211,1993-03-14,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8476468.png
8481704,Juuso,Parssinen,Juuso Parssinen,71,C,L,75,207,2001-02-01,FIN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8481704.png
8484210,Gabe,Perreault,Gabe Perreault,94,R,L,71,180,2005-05-07,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8484210.png
8479390,Taylor,Raddysh,Taylor Raddysh,14,R,R,74,201,1998-02-18,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8479390.png
8482460,Matt,Rempe,Matt Rempe,73,C,R,81,261,2002-06-29,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482460.png
8484461,Dylan,Roobroeck,Dylan Roobroeck,54,C,L,79,222,2004-07-27,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8484461.png
8483669,Adam,Sykora,Adam Sykora,38,L,L,71,193,2004-09-07,SVK,https://assets.nhle.com/mugs/nhl/20262027/NYR/8483669.png
8484236,Carey,Terrance,Carey Terrance,62,C,L,72,203,2005-05-10,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8484236.png
8483685,Aidan,Thompson,Aidan Thompson,,C,L,71,180,2002-02-18,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8483685.png
8480813,Joe,Veleno,Joe Veleno,90,C,L,73,201,2000-01-13,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8480813.png
8476459,Mika,Zibanejad,Mika Zibanejad,93,C,R,74,208,1993-04-18,SWE,https://assets.nhle.com/mugs/nhl/20262027/NYR/8476459.png
8481743,Marc,Del Gaizo,Marc Del Gaizo,,D,L,71,188,1999-10-11,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8481743.png
8483750,Jackson,Dorrington,Jackson Dorrington,83,D,L,75,216,2004-04-13,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8483750.png
8480434,Sean,Durzi,Sean Durzi,5,D,R,73,196,1998-10-21,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8480434.png
8484169,Drew,Fortescue,Drew Fortescue,45,D,L,74,195,2005-04-28,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8484169.png
8479323,Adam,Fox,Adam Fox,23,D,R,71,185,1998-02-17,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8479323.png
8478882,Vladislav,Gavrikov,Vladislav Gavrikov,44,D,L,75,210,1995-11-21,RUS,https://assets.nhle.com/mugs/nhl/20262027/NYR/8478882.png
8482666,Scott,Morrow,Scott Morrow,60,D,R,74,210,2002-11-01,USA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482666.png
8477969,Marcus,Pettersson,Marcus Pettersson,26,D,L,77,174,1996-05-08,SWE,https://assets.nhle.com/mugs/nhl/20262027/NYR/8477969.png
8481525,Matthew,Robertson,Matthew Robertson,29,D,L,76,210,2001-03-09,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8481525.png
8482073,Braden,Schneider,Braden Schneider,4,D,R,75,206,2001-09-20,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482073.png
8485957,Alberts,Smits,Alberts Smits,,D,L,75,205,2007-12-02,LVA,https://assets.nhle.com/mugs/nhl/20262027/NYR/8485957.png
8482806,William,Trudeau,William Trudeau,,D,L,73,205,2002-10-11,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482806.png
8480001,Urho,Vaakanainen,Urho Vaakanainen,18,D,L,74,202,1999-01-01,FIN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8480001.png
8482193,Dylan,Garand,Dylan Garand,33,G,L,73,185,2002-06-07,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8482193.png
8476914,Joonas,Korpisalo,Joonas Korpisalo,70,G,L,76,200,1994-04-28,FIN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8476914.png
8477484,Spencer,Martin,Spencer Martin,41,G,L,75,191,1995-06-08,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8477484.png
8478048,Igor,Shesterkin,Igor Shesterkin,31,G,L,73,199,1995-12-30,RUS,https://assets.nhle.com/mugs/nhl/20262027/NYR/8478048.png
8485489,Callum,Tung,Callum Tung,,G,L,75,209,2003-11-23,CAN,https://assets.nhle.com/mugs/nhl/20262027/NYR/8485489.png
