id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8478020,Michael,Amadio,Michael Amadio,22,R,R,73,206,1996-05-13,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8478020.png
8486212,Eskild,Bakke Olsen,Eskild Bakke Olsen,,C,R,74,203,2002-03-19,NOR,https://assets.nhle.com/mugs/nhl/20262027/OTT/8486212.png
8480208,Drake,Batherson,Drake Batherson,19,R,R,75,209,1998-04-27,USA,https://assets.nhle.com/mugs/nhl/20262027/OTT/8480208.png
8478104,Sammy,Blais,Sammy Blais,,L,L,74,206,1996-06-17,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8478104.png
8482674,Tyler,Boucher,Tyler Boucher,54,R,R,74,216,2003-01-16,USA,https://assets.nhle.com/mugs/nhl/20262027/OTT/8482674.png
8477444,Andre,Burakovsky,Andre Burakovsky,95,L,L,75,203,1995-02-09,AUT,https://assets.nhle.com/mugs/nhl/20262027/OTT/8477444.png
8476393,Nick,Cousins,Nick Cousins,21,C,L,71,191,1993-07-20,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8476393.png
8481528,Dylan,Cozens,Dylan Cozens,24,C,R,75,205,2001-02-09,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8481528.png
8482458,Philippe,Daoust,Philippe Daoust,92,C,L,73,195,2001-11-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8482458.png
8482667,William,Eklund,William Eklund,27,L,L,70,185,2002-10-12,SWE,https://assets.nhle.com/mugs/nhl/20262027/OTT/8482667.png
8485006,Lucas,Ellinas,Lucas Ellinas,91,L,L,74,205,2006-03-12,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8485006.png
8477998,Warren,Foegele,Warren Foegele,37,L,L,74,205,1996-04-01,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8477998.png
8473512,Claude,Giroux,Claude Giroux,28,R,R,71,186,1988-01-12,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8473512.png
8482092,Ridly,Greig,Ridly Greig,71,C,L,72,184,2002-08-08,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8482092.png
8483676,Stephen,Halliday,Stephen Halliday,34,C,L,76,214,2002-07-02,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8483676.png
8484176,Kasper,Halttunen,Kasper Halttunen,,R,R,75,215,2005-06-07,FIN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8484176.png
8478173,Hayden,Hodgson,Hayden Hodgson,42,R,R,74,226,1996-03-02,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8478173.png
8477073,Kurtis,MacDermid,Kurtis MacDermid,23,L,L,77,233,1994-03-25,CAN,https://assets.nhle.com/mugs/nhl/20262027/OTT/8477073.png
8485016,Blake,Montgomery,Blake Montgomery,,L,L,76,178,2005-05-04,USA,https://assets.nhle.com/mugs/nhl/20262027/OTT/8485016.png
8483673,Oskar,Pettersson,Oskar Pettersson,63,R,R,74,209,2004-02-04,SWE,https://assets.nhle.com/mugs/nhl/20262027/OTT/8483673.png
8481596,Shane,Pinto,Shane Pinto,12,C,R,75,206,2000-11-12,USA,https://assets.nhle.com/mugs/nhl/20262027/OTT/8481596.png
