id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8478569,Noel,Acciari,Noel Acciari,55,C,R,71,204,1991-12-01,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8478569.png
8479638,Justin,Brazeau,Justin Brazeau,16,R,R,78,232,1998-02-02,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8479638.png
8482475,Egor,Chinakhov,Egor Chinakhov,59,R,L,73,203,2001-02-01,RUS,https://assets.nhle.com/mugs/nhl/20252026/PIT/8482475.png
8471675,Sidney,Crosby,Sidney Crosby,87,C,L,71,200,1987-08-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8471675.png
8480980,Connor,Dewar,Connor Dewar,19,C,L,70,187,1999-06-26,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8480980.png
8480842,Filip,Hallander,Filip Hallander,11,C,L,73,203,2000-06-29,SWE,https://assets.nhle.com/mugs/nhl/20252026/PIT/8480842.png
8475763,Kevin,Hayes,Kevin Hayes,13,R,L,75,217,1992-05-08,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8475763.png
8485414,Ben,Kindel,Ben Kindel,81,C,R,71,182,2007-04-19,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8485414.png
8482758,Ville,Koivunen,Ville Koivunen,41,R,L,72,184,2003-06-13,FIN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8482758.png
8481481,Blake,Lizotte,Blake Lizotte,46,C,L,69,176,1997-12-13,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8481481.png
8471215,Evgeni,Malkin,Evgeni Malkin,71,C,L,77,213,1986-07-31,RUS,https://assets.nhle.com/mugs/nhl/20252026/PIT/8471215.png
8477511,Anthony,Mantha,Anthony Mantha,39,R,L,77,240,1994-09-16,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8477511.png
8478438,Tommy,Novak,Tommy Novak,18,C,L,73,190,1997-04-28,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8478438.png
8476483,Rickard,Rakell,Rickard Rakell,67,R,R,73,194,1993-05-05,SWE,https://assets.nhle.com/mugs/nhl/20252026/PIT/8476483.png
8475810,Bryan,Rust,Bryan Rust,17,R,R,71,202,1992-05-11,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8475810.png
8481725,Elmer,Soderblom,Elmer Soderblom,25,L,L,80,252,2001-07-05,SWE,https://assets.nhle.com/mugs/nhl/20252026/PIT/8481725.png
8477365,Connor,Clifton,Connor Clifton,75,D,R,72,196,1995-04-28,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8477365.png
8479398,Samuel,Girard,Samuel Girard,49,D,L,70,170,1998-05-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8479398.png
8477435,Ryan,Graves,Ryan Graves,27,D,L,77,225,1995-05-21,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8477435.png
8474578,Erik,Karlsson,Erik Karlsson,65,D,R,72,185,1990-05-31,SWE,https://assets.nhle.com/mugs/nhl/20252026/PIT/8474578.png
8471724,Kris,Letang,Kris Letang,58,D,R,72,199,1987-04-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8471724.png
8486169,Jake,Livanavage,Jake Livanavage,57,D,,71,190,2004-05-06,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8486169.png
8478854,Ryan,Shea,Ryan Shea,5,D,L,73,200,1997-02-11,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8478854.png
8482470,Ilya,Solovyov,Ilya Solovyov,7,D,L,75,208,2000-07-20,BLR,https://assets.nhle.com/mugs/nhl/20252026/PIT/8482470.png
8481030,Jack,St. Ivany,Jack St. Ivany,3,D,R,76,197,1999-07-22,USA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8481030.png
8478450,Parker,Wotherspoon,Parker Wotherspoon,28,D,L,73,190,1997-08-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8478450.png
8481668,Arturs,Silovs,Arturs Silovs,37,G,L,76,208,2001-03-22,LVA,https://assets.nhle.com/mugs/nhl/20252026/PIT/8481668.png
8479973,Stuart,Skinner,Stuart Skinner,74,G,L,76,215,1998-11-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/PIT/8479973.png
