id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8482665,Matty,Beniers,Matty Beniers,10,C,L,74,181,2002-11-05,USA,https://assets.nhle.com/mugs/nhl/20262027/SEA/8482665.png
8484800,Berkly,Catton,Berkly Catton,27,C,L,70,179,2006-01-14,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8484800.png
8480876,Curtis,Douglas,Curtis Douglas,42,C,L,81,242,2000-03-06,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8480876.png
8474586,Jordan,Eberle,Jordan Eberle,7,R,R,71,180,1990-05-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8474586.png
8486009,Ryden,Evers,Ryden Evers,91,L,L,76,192,2005-06-22,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8486009.png
8477919,Frederick,Gaudreau,Frederick Gaudreau,89,C,R,72,184,1993-05-01,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8477919.png
8481554,Kaapo,Kakko,Kaapo Kakko,84,R,L,73,215,2001-02-13,FIN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8481554.png
8477955,Jared,McCann,Jared McCann,19,L,L,73,191,1996-05-31,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8477955.png
8482259,Bobby,McMann,Bobby McMann,74,C,L,74,217,1996-06-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8482259.png
8483570,Ben,Meyers,Ben Meyers,59,C,L,71,194,1998-11-15,USA,https://assets.nhle.com/mugs/nhl/20262027/SEA/8483570.png
8484773,Julius,Miettinen,Julius Miettinen,49,C,L,75,205,2006-01-20,FIN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8484773.png
8482713,Mackie,Samoskevich,Mackie Samoskevich,11,R,R,71,180,2002-11-15,USA,https://assets.nhle.com/mugs/nhl/20262027/SEA/8482713.png
8476905,Chandler,Stephenson,Chandler Stephenson,9,C,L,72,201,1994-04-22,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8476905.png
8482751,Ryan,Winterton,Ryan Winterton,26,C,R,74,175,2003-09-04,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8482751.png
8483524,Shane,Wright,Shane Wright,51,C,R,72,192,2004-01-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8483524.png
8484838,Alexis,Bernier,Alexis Bernier,43,D,R,73,196,2006-06-21,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8484838.png
8478407,Vince,Dunn,Vince Dunn,29,D,L,72,200,1996-10-29,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8478407.png
8482858,Ryker,Evans,Ryker Evans,41,D,L,72,195,2001-12-13,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8482858.png
8479985,Cale,Fleury,Cale Fleury,8,D,R,73,204,1998-11-19,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8479985.png
8476457,Adam,Larsson,Adam Larsson,6,D,R,75,207,1992-11-12,SWE,https://assets.nhle.com/mugs/nhl/20262027/SEA/8476457.png
8479324,Ryan,Lindgren,Ryan Lindgren,55,D,L,72,194,1998-02-11,USA,https://assets.nhle.com/mugs/nhl/20262027/SEA/8479324.png
8479372,Joshua,Mahura,Joshua Mahura,28,D,L,72,193,1998-05-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8479372.png
8477986,Brandon,Montour,Brandon Montour,62,D,R,72,199,1994-04-11,CAN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8477986.png
8478916,Joey,Daccord,Joey Daccord,35,G,L,74,201,1996-08-19,USA,https://assets.nhle.com/mugs/nhl/20262027/SEA/8478916.png
8475831,Philipp,Grubauer,Philipp Grubauer,31,G,L,73,188,1991-11-25,DEU,https://assets.nhle.com/mugs/nhl/20262027/SEA/8475831.png
8485003,Kim,Saarinen,Kim Saarinen,45,G,L,76,169,2006-07-22,FIN,https://assets.nhle.com/mugs/nhl/20262027/SEA/8485003.png
