id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8484801,Macklin,Celebrini,Macklin Celebrini,71,C,L,72,190,2006-06-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484801.png
8480848,Ty,Dellandrea,Ty Dellandrea,10,C,R,74,185,2000-07-21,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8480848.png
8482667,William,Eklund,William Eklund,72,L,L,70,185,2002-10-12,SWE,https://assets.nhle.com/mugs/nhl/20252026/SJS/8482667.png
8478874,Adam,Gaudette,Adam Gaudette,81,R,R,73,190,1996-10-03,USA,https://assets.nhle.com/mugs/nhl/20252026/SJS/8478874.png
8476624,Barclay,Goodrow,Barclay Goodrow,23,C,L,74,210,1993-02-26,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8476624.png
8484911,Collin,Graf,Collin Graf,51,R,R,73,190,2002-09-21,USA,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484911.png
8480798,Philipp,Kurashev,Philipp Kurashev,96,C,L,72,190,1999-10-12,CHE,https://assets.nhle.com/mugs/nhl/20252026/SJS/8480798.png
8485402,Michael,Misa,Michael Misa,77,C,L,73,185,2007-02-16,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8485402.png
8482859,Zack,Ostapchuk,Zack Ostapchuk,63,C,L,76,212,2003-05-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8482859.png
8471817,Ryan,Reaves,Ryan Reaves,75,R,R,74,225,1987-01-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8471817.png
8483630,Pavol,Regenda,Pavol Regenda,84,L,L,75,215,1999-12-07,SVK,https://assets.nhle.com/mugs/nhl/20252026/SJS/8483630.png
8480748,Kiefer,Sherwood,Kiefer Sherwood,44,L,R,72,194,1995-03-31,USA,https://assets.nhle.com/mugs/nhl/20252026/SJS/8480748.png
8484227,Will,Smith,Will Smith,2,C,R,72,180,2005-03-17,USA,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484227.png
8475726,Tyler,Toffoli,Tyler Toffoli,73,C,R,72,205,1992-04-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475726.png
8477505,Alexander,Wennberg,Alexander Wennberg,21,C,L,74,190,1994-09-22,SWE,https://assets.nhle.com/mugs/nhl/20252026/SJS/8477505.png
8479576,Vincent,Desharnais,Vincent Desharnais,5,D,R,79,225,1996-05-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8479576.png
8484806,Sam,Dickinson,Sam Dickinson,6,D,L,75,200,2006-06-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8484806.png
8479983,Mario,Ferraro,Mario Ferraro,38,D,L,71,200,1998-09-17,CAN,https://assets.nhle.com/mugs/nhl/20252026/SJS/8479983.png
8475906,John,Klingberg,John Klingberg,3,D,R,74,185,1992-08-14,SWE,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475906.png
8475181,Nick,Leddy,Nick Leddy,4,D,L,72,205,1991-03-20,USA,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475181.png
8482166,Shakir,Mukhamadullin,Shakir Mukhamadullin,85,D,L,76,200,2002-01-10,RUS,https://assets.nhle.com/mugs/nhl/20252026/SJS/8482166.png
8475200,Dmitry,Orlov,Dmitry Orlov,9,D,L,71,215,1991-07-23,RUS,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475200.png
8482137,Yaroslav,Askarov,Yaroslav Askarov,30,G,R,75,180,2002-06-16,RUS,https://assets.nhle.com/mugs/nhl/20252026/SJS/8482137.png
8477968,Alex,Nedeljkovic,Alex Nedeljkovic,33,G,L,72,205,1996-01-07,USA,https://assets.nhle.com/mugs/nhl/20252026/SJS/8477968.png
