id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8481013,Jonatan,Berggren,Jonatan Berggren,29,R,L,71,198,2000-07-16,SWE,https://assets.nhle.com/mugs/nhl/20262027/STL/8481013.png
8477402,Pavel,Buchnevich,Pavel Buchnevich,89,L,L,74,202,1995-04-17,RUS,https://assets.nhle.com/mugs/nhl/20262027/STL/8477402.png
8482784,Zach,Dean,Zach Dean,52,C,L,72,187,2003-01-04,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8482784.png
8479346,Dillon,Dube,Dillon Dube,65,C,L,71,185,1998-07-20,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8479346.png
8484164,Dalibor,Dvorsky,Dalibor Dvorsky,15,R,L,73,207,2005-06-15,SVK,https://assets.nhle.com/mugs/nhl/20262027/STL/8484164.png
8482090,Jack,Finley,Jack Finley,37,C,R,78,233,2002-09-02,USA,https://assets.nhle.com/mugs/nhl/20262027/STL/8482090.png
8482077,Dylan,Holloway,Dylan Holloway,81,L,L,73,207,2001-09-23,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8482077.png
8477527,Ross,Johnston,Ross Johnston,49,L,L,77,235,1994-02-18,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8477527.png
8483463,Aleksanteri,Kaskimaki,Aleksanteri Kaskimaki,41,C,L,73,197,2004-02-06,FIN,https://assets.nhle.com/mugs/nhl/20262027/STL/8483463.png
8481580,Connor,McMichael,Connor McMichael,77,L,L,72,180,2001-01-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8481580.png
8482745,Mason,McTavish,Mason McTavish,83,C,L,73,219,2003-01-30,CHE,https://assets.nhle.com/mugs/nhl/20262027/STL/8482745.png
8482089,Jake,Neighbours,Jake Neighbours,63,L,L,72,201,2002-03-29,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8482089.png
8482121,Dylan,Peterson,Dylan Peterson,32,C,R,76,209,2002-01-08,USA,https://assets.nhle.com/mugs/nhl/20262027/STL/8482121.png
8483516,Jimmy,Snuggerud,Jimmy Snuggerud,21,R,R,74,193,2004-06-01,USA,https://assets.nhle.com/mugs/nhl/20262027/STL/8483516.png
8484230,Otto,Stenberg,Otto Stenberg,28,C,L,71,188,2005-05-29,SWE,https://assets.nhle.com/mugs/nhl/20262027/STL/8484230.png
8476897,Oskar,Sundqvist,Oskar Sundqvist,70,C,R,75,212,1994-03-23,SWE,https://assets.nhle.com/mugs/nhl/20262027/STL/8476897.png
8480459,Pius,Suter,Pius Suter,22,C,L,71,178,1996-05-24,CHE,https://assets.nhle.com/mugs/nhl/20262027/STL/8480459.png
8480023,Robert,Thomas,Robert Thomas,18,C,R,72,213,1999-07-02,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8480023.png
8480281,Alexey,Toropchenko,Alexey Toropchenko,13,R,L,78,227,1999-06-25,RUS,https://assets.nhle.com/mugs/nhl/20262027/STL/8480281.png
8477573,Nathan,Walker,Nathan Walker,26,L,L,69,191,1994-02-07,GBR,https://assets.nhle.com/mugs/nhl/20262027/STL/8477573.png
8481598,Philip,Broberg,Philip Broberg,6,D,L,75,210,2001-06-25,SWE,https://assets.nhle.com/mugs/nhl/20262027/STL/8481598.png
8478443,Brandon,Carlo,Brandon Carlo,25,D,R,77,214,1996-11-26,USA,https://assets.nhle.com/mugs/nhl/20262027/STL/8478443.png
8475764,Cam,Fowler,Cam Fowler,17,D,L,74,205,1991-12-05,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8475764.png
8484790,Adam,Jiricek,Adam Jiricek,36,D,R,75,185,2006-06-28,CZE,https://assets.nhle.com/mugs/nhl/20262027/STL/8484790.png
8484188,Theo,Lindstein,Theo Lindstein,4,D,L,72,187,2005-01-05,SWE,https://assets.nhle.com/mugs/nhl/20262027/STL/8484188.png
8482733,Logan,Mailloux,Logan Mailloux,23,D,R,75,212,2003-04-15,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8482733.png
8476892,Colton,Parayko,Colton Parayko,55,D,R,78,228,1993-05-12,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8476892.png
8480157,Calle,Rosen,Calle Rosen,43,D,L,73,188,1994-02-02,SWE,https://assets.nhle.com/mugs/nhl/20262027/STL/8480157.png
8481006,Tyler,Tucker,Tyler Tucker,75,D,L,74,209,2000-03-01,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8481006.png
8476412,Jordan,Binnington,Jordan Binnington,50,G,L,74,172,1993-07-11,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8476412.png
8480981,Joel,Hofer,Joel Hofer,30,G,L,77,197,2000-07-30,CAN,https://assets.nhle.com/mugs/nhl/20262027/STL/8480981.png
8484312,Georgii,Romanov,Georgii Romanov,35,G,L,77,211,1999-12-15,RUS,https://assets.nhle.com/mugs/nhl/20262027/STL/8484312.png
