id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8477503,Max,Domi,Max Domi,11,C,L,70,208,1995-03-02,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8477503.png
8480870,Bo,Groulx,Bo Groulx,29,C,L,74,202,2000-02-06,FRA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8480870.png
8485467,Luke,Haymes,Luke Haymes,43,C,L,73,192,2003-07-28,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8485467.png
8475714,Calle,Jarnkrok,Calle Jarnkrok,19,C,R,72,193,1991-09-25,SWE,https://assets.nhle.com/mugs/nhl/20252026/TOR/8475714.png
8478057,Dakota,Joshua,Dakota Joshua,81,C,L,75,218,1996-05-15,USA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8478057.png
8482720,Matthew,Knies,Matthew Knies,23,L,L,75,232,2002-10-17,USA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8482720.png
8478904,Steven,Lorentz,Steven Lorentz,18,C,L,76,219,1996-04-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8478904.png
8481711,Matias,Maccelli,Matias Maccelli,63,L,L,71,187,2000-10-14,FIN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8481711.png
8479318,Auston,Matthews,Auston Matthews,34,C,L,75,215,1997-09-17,USA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8479318.png
8477939,William,Nylander,William Nylander,88,R,R,72,200,1996-05-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8477939.png
8481582,Nicholas,Robertson,Nicholas Robertson,89,L,L,69,180,2001-09-11,USA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8481582.png
8475166,John,Tavares,John Tavares,91,C,L,73,217,1990-09-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8475166.png
8481122,Simon,Benoit,Simon Benoit,2,D,L,76,210,1998-09-19,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8481122.png
8478443,Brandon,Carlo,Brandon Carlo,25,D,R,77,227,1996-11-26,USA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8478443.png
8475171,Oliver,Ekman-Larsson,Oliver Ekman-Larsson,95,D,L,74,190,1991-07-17,SWE,https://assets.nhle.com/mugs/nhl/20252026/TOR/8475171.png
8476931,Jake,McCabe,Jake McCabe,22,D,L,73,210,1993-10-12,USA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8476931.png
8479026,Philippe,Myers,Philippe Myers,51,D,R,77,221,1997-01-25,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8479026.png
8476853,Morgan,Rielly,Morgan Rielly,44,D,L,73,219,1994-03-09,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8476853.png
8479442,Troy,Stecher,Troy Stecher,28,D,R,70,184,1994-04-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8479442.png
8475690,Chris,Tanev,Chris Tanev,8,D,R,75,200,1989-12-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/TOR/8475690.png
8476932,Anthony,Stolarz,Anthony Stolarz,41,G,L,78,248,1994-01-20,USA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8476932.png
8479361,Joseph,Woll,Joseph Woll,60,G,L,75,212,1998-07-12,USA,https://assets.nhle.com/mugs/nhl/20252026/TOR/8479361.png
