id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8484388,Daniil,But,Daniil But,19,L,R,77,203,2005-02-15,RUS,https://assets.nhle.com/mugs/nhl/20262027/UTA/8484388.png
8479619,Michael,Carcone,Michael Carcone,53,L,L,69,182,1996-05-19,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8479619.png
8483431,Logan,Cooley,Logan Cooley,92,C,L,72,191,2004-05-04,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8483431.png
8478474,Lawson,Crouse,Lawson Crouse,67,L,L,76,214,1997-06-23,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8478474.png
8482699,Dylan,Guenther,Dylan Guenther,11,R,R,73,191,2003-04-10,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8482699.png
8480849,Barrett,Hayton,Barrett Hayton,27,C,L,73,200,2000-06-09,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8480849.png
8479343,Clayton,Keller,Clayton Keller,9,R,L,70,175,1998-07-29,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8479343.png
8475314,Anders,Lee,Anders Lee,72,L,L,75,234,1990-07-03,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8475314.png
8480855,Jack,McBain,Jack McBain,22,C,L,76,219,2000-01-06,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8480855.png
8477070,Liam,O'Brien,Liam O'Brien,38,C,L,73,215,1994-07-29,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8477070.png
8477951,Nick,Schmaltz,Nick Schmaltz,8,C,R,72,184,1996-02-23,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8477951.png
8478831,Kevin,Stenlund,Kevin Stenlund,82,C,R,75,213,1996-09-20,SWE,https://assets.nhle.com/mugs/nhl/20262027/UTA/8478831.png
8479293,Brandon,Tanev,Brandon Tanev,13,L,L,72,189,1991-12-31,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8479293.png
8476389,Vincent,Trocheck,Vincent Trocheck,16,C,R,71,187,1993-07-11,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8476389.png
8479977,Kailer,Yamamoto,Kailer Yamamoto,56,R,R,69,178,1998-09-29,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8479977.png
8480084,Nick,DeSimone,Nick DeSimone,57,D,R,74,194,1994-11-21,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8480084.png
8483472,Maveric,Lamoureux,Maveric Lamoureux,10,D,R,78,196,2004-01-13,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8483472.png
8478507,John,Marino,John Marino,6,D,R,73,200,1997-05-21,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8478507.png
8479369,Andrew,Peeke,Andrew Peeke,,D,R,75,214,1998-03-17,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8479369.png
8477220,Nate,Schmidt,Nate Schmidt,88,D,L,72,197,1991-07-16,USA,https://assets.nhle.com/mugs/nhl/20262027/UTA/8477220.png
8479410,Mikhail,Sergachev,Mikhail Sergachev,98,D,L,75,212,1998-06-25,RUS,https://assets.nhle.com/mugs/nhl/20262027/UTA/8479410.png
8484386,Dmitri,Simashev,Dmitri Simashev,26,D,L,76,198,2005-02-04,RUS,https://assets.nhle.com/mugs/nhl/20262027/UTA/8484386.png
8477346,MacKenzie,Weegar,MacKenzie Weegar,52,D,R,72,206,1994-01-07,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8477346.png
8482657,Sebastian,Cossa,Sebastian Cossa,,G,L,78,221,2002-11-21,CAN,https://assets.nhle.com/mugs/nhl/20262027/UTA/8482657.png
8478872,Karel,Vejmelka,Karel Vejmelka,70,G,R,76,221,1996-05-25,CZE,https://assets.nhle.com/mugs/nhl/20262027/UTA/8478872.png
