id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8477964,Ivan,Barbashev,Ivan Barbashev,49,L,L,72,203,1995-12-14,RUS,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477964.png
8483890,Braeden,Bowman,Braeden Bowman,42,R,R,73,205,2003-06-26,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8483890.png
8484803,Trevor,Connelly,Trevor Connelly,24,L,L,73,175,2006-02-28,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8484803.png
8475343,Nic,Dowd,Nic Dowd,26,C,R,74,195,1990-05-27,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475343.png
8478403,Jack,Eichel,Jack Eichel,9,C,R,74,208,1996-10-28,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478403.png
8476881,Tomas,Hertl,Tomas Hertl,48,C,L,75,220,1993-11-12,CZE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476881.png
8482125,Alexander,Holtz,Alexander Holtz,11,R,R,72,198,2002-01-23,SWE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482125.png
8479353,Brett,Howden,Brett Howden,21,C,L,74,201,1998-03-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479353.png
8476448,William,Karlsson,William Karlsson,71,C,L,72,190,1993-01-08,SWE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476448.png
8478434,Keegan,Kolesar,Keegan Kolesar,55,R,R,74,216,1997-04-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478434.png
8479550,Tanner,Laczynski,Tanner Laczynski,28,C,R,73,211,1997-06-01,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479550.png
8481534,Raphael,Lavoie,Raphael Lavoie,36,C,R,76,217,2000-09-25,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481534.png
8478483,Mitch,Marner,Mitch Marner,93,R,R,72,180,1997-05-05,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478483.png
8480007,Jonas,Rondbjerg,Jonas Rondbjerg,46,R,L,74,206,1999-03-31,DNK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8480007.png
8476438,Brandon,Saad,Brandon Saad,20,L,L,73,207,1992-10-27,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476438.png
8476925,Colton,Sissons,Colton Sissons,10,C,R,73,200,1993-11-05,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476925.png
8482062,Cole,Smith,Cole Smith,22,R,L,75,195,1995-10-28,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482062.png
8475191,Reilly,Smith,Reilly Smith,19,R,L,73,185,1991-04-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475191.png
8475913,Mark,Stone,Mark Stone,61,R,R,75,210,1992-05-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475913.png
8485251,Kai,Uchacz,Kai Uchacz,77,C,R,74,206,2003-06-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8485251.png
8478397,Rasmus,Andersson,Rasmus Andersson,4,D,R,73,202,1996-10-27,SWE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478397.png
8479639,Dylan,Coghlan,Dylan Coghlan,52,D,R,74,205,1998-02-19,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479639.png
8479602,Jeremy,Davies,Jeremy Davies,84,D,L,71,190,1996-12-04,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479602.png
8478396,Noah,Hanifin,Noah Hanifin,15,D,L,75,206,1997-01-25,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478396.png
8477018,Ben,Hutton,Ben Hutton,17,D,L,75,209,1993-04-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477018.png
8478468,Jeremy,Lauzon,Jeremy Lauzon,5,D,L,75,225,1997-04-28,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478468.png
8475188,Brayden,McNabb,Brayden McNabb,3,D,L,76,215,1991-01-21,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475188.png
8477034,Jaycob,Megna,Jaycob Megna,88,D,L,78,214,1992-12-10,USA,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477034.png
8477447,Shea,Theodore,Shea Theodore,27,D,L,74,197,1995-08-03,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477447.png
8478450,Parker,Wotherspoon,Parker Wotherspoon,,D,L,73,190,1997-08-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478450.png
8479394,Carter,Hart,Carter Hart,79,G,L,74,196,1998-08-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479394.png
8478499,Adin,Hill,Adin Hill,33,G,L,76,222,1996-05-11,CAN,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478499.png
8482761,Carl,Lindbom,Carl Lindbom,30,G,L,73,186,2003-05-20,SWE,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482761.png
