id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8480289,Morgan,Barron,Morgan Barron,36,C,L,76,220,1998-12-02,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480289.png
8482787,Nikita,Chibrikov,Nikita Chibrikov,90,R,L,70,170,2003-02-16,RUS,https://assets.nhle.com/mugs/nhl/20252026/WPG/8482787.png
8478398,Kyle,Connor,Kyle Connor,81,L,L,73,183,1996-12-09,USA,https://assets.nhle.com/mugs/nhl/20252026/WPG/8478398.png
8480113,Alex,Iafallo,Alex Iafallo,9,L,L,72,201,1993-12-21,USA,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480113.png
8481043,Cole,Koepke,Cole Koepke,45,L,L,73,207,1998-05-17,USA,https://assets.nhle.com/mugs/nhl/20252026/WPG/8481043.png
8476392,Adam,Lowry,Adam Lowry,17,C,L,77,210,1993-03-29,USA,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476392.png
8476480,Vladislav,Namestnikov,Vladislav Namestnikov,7,C,L,72,181,1992-11-22,RUS,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476480.png
8475799,Nino,Niederreiter,Nino Niederreiter,62,R,L,74,218,1992-09-08,CHE,https://assets.nhle.com/mugs/nhl/20252026/WPG/8475799.png
8474679,Gustav,Nyquist,Gustav Nyquist,14,R,L,71,180,1989-09-01,SWE,https://assets.nhle.com/mugs/nhl/20252026/WPG/8474679.png
8482149,Cole,Perfetti,Cole Perfetti,91,C,L,71,185,2002-01-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8482149.png
8482765,Isak,Rosen,Isak Rosen,27,R,L,72,185,2003-03-15,SWE,https://assets.nhle.com/mugs/nhl/20252026/WPG/8482765.png
8476460,Mark,Scheifele,Mark Scheifele,55,C,R,75,207,1993-03-15,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476460.png
8473604,Jonathan,Toews,Jonathan Toews,19,C,L,74,201,1988-04-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8473604.png
8480014,Gabriel,Vilardi,Gabriel Vilardi,13,C,R,75,216,1999-08-16,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480014.png
8480196,Jacob,Bryson,Jacob Bryson,78,D,L,69,177,1997-11-18,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480196.png
8476331,Dylan,DeMelo,Dylan DeMelo,2,D,R,73,194,1993-05-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476331.png
8477938,Haydn,Fleury,Haydn Fleury,24,D,L,76,207,1996-07-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8477938.png
8481572,Ville,Heinola,Ville Heinola,34,D,L,72,181,2001-03-02,FIN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8481572.png
8476525,Colin,Miller,Colin Miller,6,D,R,73,200,1992-10-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476525.png
8477504,Josh,Morrissey,Josh Morrissey,44,D,L,72,195,1995-03-28,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8477504.png
8480145,Neal,Pionk,Neal Pionk,4,D,R,72,190,1995-07-29,USA,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480145.png
8483510,Elias,Salomonsson,Elias Salomonsson,57,D,R,72,172,2004-08-31,SWE,https://assets.nhle.com/mugs/nhl/20252026/WPG/8483510.png
8480049,Dylan,Samberg,Dylan Samberg,54,D,L,76,216,1999-01-24,USA,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480049.png
8477480,Eric,Comrie,Eric Comrie,1,G,L,73,190,1995-07-06,CAN,https://assets.nhle.com/mugs/nhl/20252026/WPG/8477480.png
8476945,Connor,Hellebuyck,Connor Hellebuyck,37,G,L,76,207,1993-05-19,USA,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476945.png
