id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8478463,Anthony,Beauvillier,Anthony Beauvillier,72,R,L,71,181,1997-06-08,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8478463.png
8479400,Pierre-Luc,Dubois,Pierre-Luc Dubois,80,C,L,76,220,1998-06-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8479400.png
8479520,Brandon,Duhaime,Brandon Duhaime,22,L,L,74,210,1997-05-22,USA,https://assets.nhle.com/mugs/nhl/20252026/WSH/8479520.png
8483573,Ethen,Frank,Ethen Frank,53,R,R,71,188,1998-02-05,USA,https://assets.nhle.com/mugs/nhl/20252026/WSH/8483573.png
8480144,David,Kampf,David Kampf,64,C,L,74,198,1995-01-12,CZE,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480144.png
8482148,Hendrix,Lapierre,Hendrix Lapierre,29,C,L,72,195,2002-02-09,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8482148.png
8484186,Ryan,Leonard,Ryan Leonard,9,R,R,73,205,2005-01-21,USA,https://assets.nhle.com/mugs/nhl/20252026/WSH/8484186.png
8481580,Connor,McMichael,Connor McMichael,24,L,L,72,180,2001-01-15,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8481580.png
8483491,Ivan,Miroshnichenko,Ivan Miroshnichenko,63,L,R,73,185,2004-02-04,RUS,https://assets.nhle.com/mugs/nhl/20252026/WSH/8483491.png
8471214,Alex,Ovechkin,Alex Ovechkin,8,L,R,75,238,1985-09-17,RUS,https://assets.nhle.com/mugs/nhl/20252026/WSH/8471214.png
8481656,Aliaksei,Protas,Aliaksei Protas,21,L,L,78,250,2001-01-06,BLR,https://assets.nhle.com/mugs/nhl/20252026/WSH/8481656.png
8484999,Ilya,Protas,Ilya Protas,62,L,L,78,225,2006-07-18,BLR,https://assets.nhle.com/mugs/nhl/20252026/WSH/8484999.png
8482088,Justin,Sourdif,Justin Sourdif,34,C,R,72,195,2002-03-24,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8482088.png
8478440,Dylan,Strome,Dylan Strome,17,C,L,76,200,1997-03-07,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8478440.png
8476880,Tom,Wilson,Tom Wilson,43,R,R,76,225,1994-03-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8476880.png
8480990,Declan,Chisholm,Declan Chisholm,47,D,L,73,205,2000-01-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480990.png
8479345,Jakob,Chychrun,Jakob Chychrun,6,D,L,74,215,1998-03-31,USA,https://assets.nhle.com/mugs/nhl/20252026/WSH/8479345.png
8480796,Martin,Fehérváry,Martin Fehérváry,42,D,L,74,215,1999-10-06,SVK,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480796.png
8484873,Cole,Hutson,Cole Hutson,44,D,L,71,175,2006-06-28,USA,https://assets.nhle.com/mugs/nhl/20252026/WSH/8484873.png
8480043,Timothy,Liljegren,Timothy Liljegren,27,D,R,73,200,1999-04-30,SWE,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480043.png
8475795,Dylan,McIlrath,Dylan McIlrath,52,D,R,77,240,1992-04-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8475795.png
8478911,Matt,Roy,Matt Roy,3,D,R,74,220,1995-03-01,USA,https://assets.nhle.com/mugs/nhl/20252026/WSH/8478911.png
8480873,Rasmus,Sandin,Rasmus Sandin,38,D,L,71,189,2000-03-07,SWE,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480873.png
8477845,Trevor,van Riemsdyk,Trevor van Riemsdyk,57,D,R,75,210,1991-07-24,USA,https://assets.nhle.com/mugs/nhl/20252026/WSH/8477845.png
8479292,Charlie,Lindgren,Charlie Lindgren,79,G,R,74,190,1993-12-18,USA,https://assets.nhle.com/mugs/nhl/20252026/WSH/8479292.png
8483532,Clay,Stevenson,Clay Stevenson,33,G,L,76,195,1999-03-03,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8483532.png
8480313,Logan,Thompson,Logan Thompson,48,G,R,76,207,1997-02-25,CAN,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480313.png
